CODGEO;HT22;HT022;HT122;HT222;HT322;HT422;HT522;HTCH22;HTCH022;HTCH122;HTCH222;HTCH322;HTCH422;HTCH522;CPG22;CPG022;CPG122;CPG222;CPG322;CPG422;CPG522;CPGE22;CPGE022;CPGE122;CPGE222;CPGE322;CPGE422;CPGE522;CPGEL22;CPGEL022;CPGEL122;CPGEL222;CPGEL322;CPGEL422;CPGEL522;CPGEO22;CPGEO022;CPGEO122;CPGEO222;CPGEO322;CPGEO422;CPGEO522;VV22;VVUH22;VVLIT22;RT22;RTUH22;RTLIT22;AJCS22;AJCSUH22;AJCSLIT22
85198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;30;0;30;0;0;0;0;0;0;0;1;19;125;0;0;0
85202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;30;0;0;30;0;0;0;0;0;0;0;0;0;0;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
85204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;200;0;0;0;200;0;0;52;0;0;0;52;0;0;148;0;0;0;148;0;0;0;0;0;0;0;0;0;0;0
85205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;20;0;20;0;0;0;0;0;0;0;0;0;0;0;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
85207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;44;0;0;44;0;0;0;4;0;0;4;0;0;0;40;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
85208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
